K	ACC	F1	NMI	AMI	ARI	Homogeneity	Completeness	Time
11.0	492.0	0.9859507397315909	0.949327006204351	0.948731305409861	0.972490338614998	0.9484141441057657	0.9502416272814768	0.09433341026306152
10.0	491.0	0.9839611023896739	0.9374242163933049	0.9366877332749303	0.9660551388104002	0.9355518080587448	0.9393041346139616	0.07712531089782715
12.0	491.0	0.983919505038908	0.942282008888136	0.9416026642904429	0.9662366029005497	0.9403535696389742	0.9442183739223545	0.12115359306335449
13.0	488.0	0.981923342471317	0.9255913652656428	0.9247131938283454	0.9535744729049503	0.9393093723117184	0.9122682759761652	0.09998631477355957
9.0	464.0	0.956823452493869	0.8565764536574053	0.8542725672020153	0.8583428873694401	0.9429803385375513	0.7846776119915309	0.11255717277526855
7.0	367.0	0.8333651083172287	0.646641196772471	0.6382262669752782	0.5950481944089904	0.873005711908024	0.5134953125440891	0.043866634368896484
8.0	291.0	0.7205043800382904	0.6209702333688636	0.6124663546111827	0.4371099942914264	0.9018179584664755	0.4735083768030997	0.044608116149902344
15.0	395.0	0.7055934404225208	0.6884123472737902	0.6850568700748679	0.5442547033730488	0.537214114526767	0.9580559946520543	0.06738734245300293
5.0	193.0	0.49039093884166574	0.47320708696302477	0.45266899928613397	0.17420767515076632	0.885878631282282	0.32282468123935876	0.057599544525146484
14.0	295.0	0.4435123614663257	0.12741452912843537	0.11856937231239649	0.044609860312991835	0.06939198966106974	0.7776583332803993	0.08512592315673828
6.0	170.0	0.4064557249579739	0.47205175072990235	0.4564121073868746	0.18362097999999183	0.7034447270097417	0.35520851775466433	0.04165840148925781
4.0	107.0	0.3423888451068087	0.4223683194859385	0.39396461794219456	0.10291281885510588	0.8823254650224608	0.2776362600317023	0.03718066215515137
1.0	116.0	0.27687242798353906	0.26146367375027435	0.11826962619669741	0.00552123450006041	0.5997929522583569	0.16716805512525665	0.10835599899291992
3.0	61.0	0.19877528636364833	0.34943700946819056	0.2948043932943652	0.035099720328783425	0.8526091148771534	0.21975018896125387	0.03652000427246094
2.0	39.0	0.12566666666666668	0.3025137440606996	0.21348598525365783	0.011545105539898631	0.7753594770207588	0.18791533356129822	0.09610867500305176
