K	ACC	F1	NMI	AMI	ARI	Homogeneity	Completeness	Time
8.0	133.0	0.9321309919316563	0.8418683138007126	0.8391159390254113	0.8429419065268027	0.9236494232113385	0.7733912560165903	0.01682305335998535
10.0	135.0	0.89769820971867	0.7979885217013319	0.7954205025674186	0.745503868180448	0.7869234996582516	0.8093691546872486	0.01691913604736328
11.0	135.0	0.89769820971867	0.7979885217013319	0.7954205025674186	0.745503868180448	0.7869234996582516	0.8093691546872486	0.01702594757080078
12.0	135.0	0.89769820971867	0.7979885217013319	0.7954205025674186	0.745503868180448	0.7869234996582516	0.8093691546872486	0.018708229064941406
13.0	135.0	0.89769820971867	0.7979885217013319	0.7954205025674186	0.745503868180448	0.7869234996582516	0.8093691546872486	0.0189359188079834
14.0	135.0	0.89769820971867	0.7979885217013319	0.7954205025674186	0.745503868180448	0.7869234996582516	0.8093691546872486	0.021471500396728516
15.0	135.0	0.89769820971867	0.7979885217013319	0.7954205025674186	0.745503868180448	0.7869234996582516	0.8093691546872486	0.02056407928466797
7.0	121.0	0.8692774407060121	0.78455407695091	0.7784916222613312	0.7750609725207523	0.9224312420108298	0.6825346161555038	0.015312910079956055
9.0	102.0	0.7858364693807731	0.6996959540709395	0.6931957890478152	0.6190145650312507	0.8334883646761626	0.6029153596684096	0.019341468811035156
5.0	77.0	0.6762618783166728	0.6336256777342255	0.6178567097029525	0.4462216377040038	0.9282363926344948	0.4809713411894249	0.014461994171142578
6.0	76.0	0.6709876167132973	0.6714274715838826	0.6584721205400776	0.469120291557772	0.9519273089633111	0.518610895650571	0.015007972717285156
4.0	58.0	0.5375816993464052	0.5635060596702722	0.5396725998244634	0.3403414730990669	0.8970138657589338	0.41077923333480304	0.07364988327026367
3.0	34.0	0.36109706632509747	0.45953504189457217	0.40830355362822657	0.15845493085767018	0.8555413063091948	0.31413205477276307	0.01343393325805664
1.0	26.0	0.14207650273224046	0.30709875111132734	0.15485967594548777	0.013854571126014818	0.5165791743083593	0.21849558882670075	0.8018839359283447
2.0	9.0	0.07894736842105263	0.362523579197456	0.26680392419925736	0.04962784337060119	0.727499291299866	0.24141115002566896	0.014134883880615234
