K	ACC	F1	NMI	AMI	ARI	Homogeneity	Completeness	Time
15.0	373.0	1.0	1.0	1.0	1.0	1.0	1.0	0.10857248306274414
11.0	342.0	0.9525543343949469	0.8381680409586592	0.8367550739485741	0.9105092523770203	1.0000000000000013	0.72141933645056	0.03905129432678223
12.0	342.0	0.9525543343949469	0.8381680409586592	0.8367550739485741	0.9105092523770203	1.0000000000000013	0.72141933645056	0.03750896453857422
14.0	340.0	0.9466970842422527	0.8436300147480985	0.8426350660124885	0.9313290313835295	0.9999999999999997	0.7295502525208867	0.043309926986694336
13.0	335.0	0.9393375374258822	0.7859450176359086	0.7841840994816554	0.8968272037348531	0.9662709414947472	0.6623390095523778	0.042366743087768555
10.0	147.0	0.5650927617291178	0.45540261773282276	0.4503504806468793	0.23553125582719642	0.9776379702907951	0.2968376622765782	0.09755778312683105
9.0	147.0	0.5650927617291178	0.44446957804411785	0.438781872953386	0.22959184801714913	0.9776379702907948	0.2876148439070927	0.032067060470581055
8.0	136.0	0.5303473057065475	0.4045306444450933	0.3976473235175796	0.19735061481268493	0.9594818108704615	0.25629380837825855	0.030692577362060547
7.0	136.0	0.5303473057065475	0.4035205663216316	0.3966290459105953	0.19702087213854697	0.9573160737622091	0.2556374585693071	0.030858278274536133
6.0	123.0	0.49479283629096166	0.3820279464511265	0.37416513797291845	0.15687543657737135	0.9756022619292931	0.2375177746367437	0.029637813568115234
1.0	100.0	0.3618319710010029	0.1734474757221306	0.08993385809570698	0.006585977512233314	0.6514278606560897	0.10004222873973864	0.08701944351196289
4.0	75.0	0.33430436583186207	0.28168596859443207	0.26431101316419015	0.060173228075516554	0.9136382759195555	0.16651180816401562	0.026554346084594727
5.0	73.0	0.3252818002827062	0.3333239198802632	0.323421506758392	0.08760855003764169	0.9620617567629599	0.20158302605309297	0.02928328514099121
3.0	32.0	0.15552130458822808	0.23664747047227028	0.21089685526446472	0.02315186817026197	0.8843279506414513	0.13660105804802453	0.09168553352355957
2.0	24.0	0.1142039430014741	0.20089491066293777	0.15584823555042537	0.008053603068904331	0.8218296472684925	0.11443406519700361	0.027489185333251953
