K	ACC	F1	NMI	AMI	ARI	Homogeneity	Completeness	Time
6.0	293.0	0.9665223519935561	0.9324564801347028	0.9318894679081587	0.9219914117084126	0.9999999999999998	0.873459922507291	0.028859376907348633
4.0	293.0	0.9663899397505955	0.9230739843507557	0.9221593094151211	0.9233627139823775	1.0	0.8571377893533976	0.02728867530822754
7.0	280.0	0.9394987035436474	0.9139168055364436	0.9132125835862612	0.8872020952805387	1.0	0.8414795571787205	0.04728198051452637
8.0	276.0	0.9369036800671918	0.8767855741995741	0.875476908208753	0.8460072594838328	0.9999999999999996	0.7806039114702065	0.035939931869506836
9.0	251.0	0.8912011418940893	0.7607536115471453	0.7569894777546603	0.7192397417484139	0.9286518896624272	0.6442708228867721	0.036492109298706055
10.0	221.0	0.8249420823584819	0.6628437038500865	0.6587808049024295	0.5856673881594581	0.8318652564753216	0.5509080973919668	0.034039974212646484
2.0	217.0	0.8116794450556772	0.7180882277581652	0.7117939626174595	0.6290621073833677	0.9621557147952072	0.5727900864576198	0.02384161949157715
5.0	217.0	0.8077914495470682	0.7531318160577387	0.7490922300589482	0.6416417069668813	1.0000000000000002	0.6040187934513965	0.03001546859741211
12.0	213.0	0.7855580886830886	0.5528454724065318	0.5483517888521232	0.4982679636765057	0.6609156160903417	0.4751508091718513	0.1006002426147461
11.0	198.0	0.7617862239374509	0.5525133869292023	0.5471309947664863	0.4559639087767395	0.6949619392778216	0.4585275425813067	0.03649163246154785
15.0	231.0	0.7602593090929601	0.48481566960927763	0.4804525525470891	0.4490147057619349	0.5170316100322851	0.4563789606693362	0.043149471282958984
14.0	213.0	0.7428418640730198	0.5052084178773975	0.5000934663868385	0.43365748777615415	0.5888655623201257	0.44236400658385444	0.0449831485748291
13.0	192.0	0.7279468661680201	0.49879578625412463	0.4927729190089387	0.41095949583260394	0.6276303901970658	0.413845183029563	0.043114423751831055
3.0	74.0	0.3778102085069554	0.4878728568103886	0.45995193607462603	0.15446526645335346	0.9780973195729065	0.3249881185986579	0.08122920989990234
1.0	52.0	0.14845938375350137	0.2929578161298913	0.14991016873140484	0.013717453587591627	0.5835315840670584	0.19557154995005124	0.09460139274597168
